,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-05-14 00:00:00+00:00,2973.14,864.08,139.93,7.69,1.22,0.61,12.08,18.72
1,2020-05-15 00:00:00+00:00,250.15,67.82,7.74,0.66,0.12,0.06,0.32,0.81
2,2020-05-16 00:00:00+00:00,,,,,,,,
3,2020-05-17 00:00:00+00:00,,,,,,,,
4,2020-05-18 00:00:00+00:00,5851.83,1718.49,264.89,11.16,1.69,0.9,24.14,35.56
5,2020-05-19 00:00:00+00:00,,,,,,,,
6,2020-05-20 00:00:00+00:00,,,,,,,,
7,2020-05-21 00:00:00+00:00,135.02,38.3,5.82,0.28,0.0,0.0,0.0,0.06
8,2020-05-22 00:00:00+00:00,,,,,,,,
9,2020-05-23 00:00:00+00:00,,,,,,,,
10,2020-05-24 00:00:00+00:00,,,,,,,,
11,2020-05-25 00:00:00+00:00,,,,,,,,
12,2020-05-26 00:00:00+00:00,,,,,,,,
13,2020-05-27 00:00:00+00:00,,,,,,,,
14,2020-05-28 00:00:00+00:00,,,,,,,,
15,2020-05-29 00:00:00+00:00,,,,,,,,
16,2020-05-30 00:00:00+00:00,,,,,,,,
17,2020-05-31 00:00:00+00:00,,,,,,,,
18,2020-06-01 00:00:00+00:00,,,,,,,,
19,2020-06-02 00:00:00+00:00,,,,,,,,
20,2020-06-03 00:00:00+00:00,,,,,,,,
21,2020-06-04 00:00:00+00:00,,,,,,,,
22,2020-06-05 00:00:00+00:00,,,,,,,,
23,2020-06-06 00:00:00+00:00,,,,,,,,
24,2020-06-07 00:00:00+00:00,,,,,,,,
25,2020-06-08 00:00:00+00:00,,,,,,,,
26,2020-06-09 00:00:00+00:00,,,,,,,,
27,2020-06-10 00:00:00+00:00,,,,,,,,
28,2020-06-11 00:00:00+00:00,,,,,,,,
29,2020-06-12 00:00:00+00:00,,,,,,,,
30,2020-06-13 00:00:00+00:00,,,,,,,,
31,2020-06-14 00:00:00+00:00,,,,,,,,
32,2020-06-15 00:00:00+00:00,,,,,,,,
33,2020-06-16 00:00:00+00:00,,,,,,,,
34,2020-06-17 00:00:00+00:00,,,,,,,,
35,2020-06-18 00:00:00+00:00,,,,,,,,
36,2020-06-19 00:00:00+00:00,,,,,,,,
37,2020-06-20 00:00:00+00:00,,,,,,,,
38,2020-06-21 00:00:00+00:00,,,,,,,,
