,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-06-08 00:00:00+00:00,5381.42,1522.13,257.33,19.6,2.35,0.94,22.01,33.72
1,2020-06-09 00:00:00+00:00,1105.33,308.32,59.98,5.75,0.82,0.36,3.79,6.81
2,2020-06-10 00:00:00+00:00,,,,,,,,
3,2020-06-11 00:00:00+00:00,249.97,67.92,11.72,0.9,0.0,0.0,0.18,0.64
4,2020-06-12 00:00:00+00:00,,,,,,,,
5,2020-06-13 00:00:00+00:00,,,,,,,,
6,2020-06-14 00:00:00+00:00,,,,,,,,
7,2020-06-15 00:00:00+00:00,,,,,,,,
8,2020-06-16 00:00:00+00:00,,,,,,,,
9,2020-06-17 00:00:00+00:00,,,,,,,,
10,2020-06-18 00:00:00+00:00,,,,,,,,
11,2020-06-19 00:00:00+00:00,,,,,,,,
12,2020-06-20 00:00:00+00:00,,,,,,,,
13,2020-06-21 00:00:00+00:00,,,,,,,,
14,2020-06-22 00:00:00+00:00,,,,,,,,
15,2020-06-23 00:00:00+00:00,,,,,,,,
16,2020-06-24 00:00:00+00:00,,,,,,,,
17,2020-06-25 00:00:00+00:00,,,,,,,,
18,2020-06-26 00:00:00+00:00,,,,,,,,
19,2020-06-27 00:00:00+00:00,,,,,,,,
20,2020-06-28 00:00:00+00:00,,,,,,,,
21,2020-06-29 00:00:00+00:00,,,,,,,,
22,2020-06-30 00:00:00+00:00,,,,,,,,
23,2020-07-01 00:00:00+00:00,,,,,,,,
24,2020-07-02 00:00:00+00:00,,,,,,,,
25,2020-07-03 00:00:00+00:00,,,,,,,,
26,2020-07-04 00:00:00+00:00,,,,,,,,
27,2020-07-05 00:00:00+00:00,,,,,,,,
28,2020-07-06 00:00:00+00:00,,,,,,,,
29,2020-07-07 00:00:00+00:00,,,,,,,,
30,2020-07-08 00:00:00+00:00,,,,,,,,
31,2020-07-09 00:00:00+00:00,,,,,,,,
32,2020-07-10 00:00:00+00:00,,,,,,,,
33,2020-07-11 00:00:00+00:00,,,,,,,,
34,2020-07-12 00:00:00+00:00,,,,,,,,
35,2020-07-13 00:00:00+00:00,,,,,,,,
36,2020-07-14 00:00:00+00:00,,,,,,,,
37,2020-07-15 00:00:00+00:00,,,,,,,,
38,2020-07-16 00:00:00+00:00,,,,,,,,
39,2020-07-17 00:00:00+00:00,,,,,,,,
40,2020-07-18 00:00:00+00:00,,,,,,,,
41,2020-07-19 00:00:00+00:00,,,,,,,,
42,2020-07-20 00:00:00+00:00,,,,,,,,
43,2020-07-21 00:00:00+00:00,,,,,,,,
44,2020-07-22 00:00:00+00:00,,,,,,,,
45,2020-07-23 00:00:00+00:00,,,,,,,,
46,2020-07-24 00:00:00+00:00,,,,,,,,
47,2020-07-25 00:00:00+00:00,,,,,,,,
48,2020-07-26 00:00:00+00:00,,,,,,,,
