,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2019-07-17 00:00:00+00:00,3124.33,945.71,422.15,102.93,31.82,17.38,10.52,48.58
1,2019-07-18 00:00:00+00:00,1378.42,398.96,140.03,28.35,8.66,4.6,5.34,18.19
2,2019-07-19 00:00:00+00:00,,,,,,,,
3,2019-07-20 00:00:00+00:00,,,,,,,,
4,2019-07-21 00:00:00+00:00,,,,,,,,
5,2019-07-22 00:00:00+00:00,,,,,,,,
6,2019-07-23 00:00:00+00:00,,,,,,,,
7,2019-07-24 00:00:00+00:00,,,,,,,,
8,2019-07-25 00:00:00+00:00,,,,,,,,
9,2019-07-26 00:00:00+00:00,,,,,,,,
10,2019-07-27 00:00:00+00:00,,,,,,,,
11,2019-07-28 00:00:00+00:00,,,,,,,,
12,2019-07-29 00:00:00+00:00,,,,,,,,
13,2019-07-30 00:00:00+00:00,,,,,,,,
14,2019-07-31 00:00:00+00:00,,,,,,,,
15,2019-08-01 00:00:00+00:00,,,,,,,,
16,2019-08-02 00:00:00+00:00,,,,,,,,
17,2019-08-03 00:00:00+00:00,,,,,,,,
18,2019-08-04 00:00:00+00:00,,,,,,,,
19,2019-08-05 00:00:00+00:00,,,,,,,,
20,2019-08-06 00:00:00+00:00,,,,,,,,
21,2019-08-07 00:00:00+00:00,,,,,,,,
22,2019-08-08 00:00:00+00:00,,,,,,,,
23,2019-08-09 00:00:00+00:00,,,,,,,,
24,2019-08-10 00:00:00+00:00,,,,,,,,
25,2019-08-11 00:00:00+00:00,,,,,,,,
26,2019-08-12 00:00:00+00:00,,,,,,,,
27,2019-08-13 00:00:00+00:00,,,,,,,,
28,2019-08-14 00:00:00+00:00,,,,,,,,
29,2019-08-15 00:00:00+00:00,,,,,,,,
30,2019-08-16 00:00:00+00:00,,,,,,,,
31,2019-08-17 00:00:00+00:00,,,,,,,,
32,2019-08-18 00:00:00+00:00,,,,,,,,
33,2019-08-19 00:00:00+00:00,,,,,,,,
34,2019-08-20 00:00:00+00:00,,,,,,,,
35,2019-08-21 00:00:00+00:00,,,,,,,,
36,2019-08-22 00:00:00+00:00,,,,,,,,
37,2019-08-23 00:00:00+00:00,,,,,,,,
38,2019-08-24 00:00:00+00:00,,,,,,,,
39,2019-08-25 00:00:00+00:00,,,,,,,,
40,2019-08-26 00:00:00+00:00,,,,,,,,
41,2019-08-27 00:00:00+00:00,,,,,,,,
42,2019-08-28 00:00:00+00:00,,,,,,,,
43,2019-08-29 00:00:00+00:00,,,,,,,,
44,2019-08-30 00:00:00+00:00,,,,,,,,
45,2019-08-31 00:00:00+00:00,,,,,,,,
46,2019-09-01 00:00:00+00:00,,,,,,,,
47,2019-09-02 00:00:00+00:00,,,,,,,,
48,2019-09-03 00:00:00+00:00,,,,,,,,
49,2019-09-04 00:00:00+00:00,154.08,38.0,4.55,1.2,0.64,0.31,0.0,0.72
50,2019-09-05 00:00:00+00:00,,,,,,,,
51,2019-09-06 00:00:00+00:00,,,,,,,,
52,2019-09-07 00:00:00+00:00,,,,,,,,
53,2019-09-08 00:00:00+00:00,,,,,,,,
54,2019-09-09 00:00:00+00:00,,,,,,,,
55,2019-09-10 00:00:00+00:00,,,,,,,,
56,2019-09-11 00:00:00+00:00,,,,,,,,
57,2019-09-12 00:00:00+00:00,,,,,,,,
58,2019-09-13 00:00:00+00:00,,,,,,,,
59,2019-09-14 00:00:00+00:00,,,,,,,,
60,2019-09-15 00:00:00+00:00,,,,,,,,
61,2019-09-16 00:00:00+00:00,,,,,,,,
62,2019-09-17 00:00:00+00:00,,,,,,,,
63,2019-09-18 00:00:00+00:00,,,,,,,,
64,2019-09-19 00:00:00+00:00,,,,,,,,
65,2019-09-20 00:00:00+00:00,,,,,,,,
66,2019-09-21 00:00:00+00:00,,,,,,,,
67,2019-09-22 00:00:00+00:00,,,,,,,,
68,2019-09-23 00:00:00+00:00,,,,,,,,
69,2019-09-24 00:00:00+00:00,,,,,,,,
70,2019-09-25 00:00:00+00:00,,,,,,,,
71,2019-09-26 00:00:00+00:00,,,,,,,,
72,2019-09-27 00:00:00+00:00,,,,,,,,
73,2019-09-28 00:00:00+00:00,,,,,,,,
74,2019-09-29 00:00:00+00:00,,,,,,,,
75,2019-09-30 00:00:00+00:00,,,,,,,,
76,2019-10-01 00:00:00+00:00,,,,,,,,
77,2019-10-02 00:00:00+00:00,,,,,,,,
78,2019-10-03 00:00:00+00:00,,,,,,,,
79,2019-10-04 00:00:00+00:00,,,,,,,,
80,2019-10-05 00:00:00+00:00,,,,,,,,
81,2019-10-06 00:00:00+00:00,,,,,,,,
82,2019-10-07 00:00:00+00:00,,,,,,,,
83,2019-10-08 00:00:00+00:00,,,,,,,,
84,2019-10-09 00:00:00+00:00,,,,,,,,
85,2019-10-10 00:00:00+00:00,,,,,,,,
86,2019-10-11 00:00:00+00:00,,,,,,,,
87,2019-10-12 00:00:00+00:00,,,,,,,,
88,2019-10-13 00:00:00+00:00,,,,,,,,
89,2019-10-14 00:00:00+00:00,,,,,,,,
90,2019-10-15 00:00:00+00:00,,,,,,,,
91,2019-10-16 00:00:00+00:00,,,,,,,,
92,2019-10-17 00:00:00+00:00,,,,,,,,
93,2019-10-18 00:00:00+00:00,,,,,,,,
94,2019-10-19 00:00:00+00:00,,,,,,,,
95,2019-10-20 00:00:00+00:00,,,,,,,,
96,2019-10-21 00:00:00+00:00,,,,,,,,
97,2019-10-22 00:00:00+00:00,,,,,,,,
98,2019-10-23 00:00:00+00:00,,,,,,,,
99,2019-10-24 00:00:00+00:00,,,,,,,,
100,2019-10-25 00:00:00+00:00,,,,,,,,
101,2019-10-26 00:00:00+00:00,,,,,,,,
102,2019-10-27 00:00:00+00:00,,,,,,,,
103,2019-10-28 00:00:00+00:00,,,,,,,,
104,2019-10-29 00:00:00+00:00,,,,,,,,
105,2019-10-30 00:00:00+00:00,,,,,,,,
106,2019-10-31 00:00:00+00:00,,,,,,,,
107,2019-11-01 00:00:00+00:00,,,,,,,,
108,2019-11-02 00:00:00+00:00,,,,,,,,
109,2019-11-03 00:00:00+00:00,,,,,,,,
110,2019-11-04 00:00:00+00:00,,,,,,,,
111,2019-11-05 00:00:00+00:00,,,,,,,,
112,2019-11-06 00:00:00+00:00,,,,,,,,
113,2019-11-07 00:00:00+00:00,,,,,,,,
114,2019-11-08 00:00:00+00:00,,,,,,,,
115,2019-11-09 00:00:00+00:00,,,,,,,,
116,2019-11-10 00:00:00+00:00,,,,,,,,
117,2019-11-11 00:00:00+00:00,,,,,,,,
118,2019-11-12 00:00:00+00:00,,,,,,,,
119,2019-11-13 00:00:00+00:00,,,,,,,,
120,2019-11-14 00:00:00+00:00,,,,,,,,
121,2019-11-15 00:00:00+00:00,,,,,,,,
